Start time: 1376316817.34, Players: 1
End time: 1376316912.28, Score: 1300
Player,Time,HR
Black,2013-08-12 10:14:02.033093,50.7909049988
Black,2013-08-12 10:14:02.117379,50.7683563232
Black,2013-08-12 10:14:02.202315,50.7525253296
Black,2013-08-12 10:14:02.290446,50.7317276001
Black,2013-08-12 10:14:02.378445,50.7055892944
Black,2013-08-12 10:14:02.464826,50.6926498413
Black,2013-08-12 10:14:02.552723,50.6787261963
Black,2013-08-12 10:14:02.654394,50.6614570618
Black,2013-08-12 10:14:02.734727,50.6309700012
Black,2013-08-12 10:14:02.822311,50.6147880554
Black,2013-08-12 10:14:02.916740,50.5788841248
Black,2013-08-12 10:14:03.005756,50.5558433533
Black,2013-08-12 10:14:03.091871,50.5430870056
Black,2013-08-12 10:14:03.179371,50.5184059143
Black,2013-08-12 10:14:03.264657,50.5067253113
Black,2013-08-12 10:14:03.348018,50.4877166748
Black,2013-08-12 10:14:03.437289,50.8082008362
Black,2013-08-12 10:14:03.525534,50.7861061096
Black,2013-08-12 10:14:03.610110,50.7680969238
Black,2013-08-12 10:14:03.701992,50.8649978638
Black,2013-08-12 10:14:03.793203,50.9334068298
Black,2013-08-12 10:14:03.878230,50.9101371765
Black,2013-08-12 10:14:03.976610,50.8795509338
Black,2013-08-12 10:14:04.060873,50.8692092896
Black,2013-08-12 10:14:04.147952,50.9010162354
Black,2013-08-12 10:14:04.241431,50.8947257996
Black,2013-08-12 10:14:04.325986,50.8648300171
Black,2013-08-12 10:14:04.418170,50.8317832947
Black,2013-08-12 10:14:04.505680,50.7999954224
Black,2013-08-12 10:14:04.591370,50.7796134949
Black,2013-08-12 10:14:04.682257,50.7565574646
Black,2013-08-12 10:14:04.773953,50.7173156738
Black,2013-08-12 10:14:04.861472,50.7033805847
Black,2013-08-12 10:14:04.944782,50.6841430664
Black,2013-08-12 10:14:05.030358,50.6597976685
Black,2013-08-12 10:14:05.120204,50.6342849731
Black,2013-08-12 10:14:05.207807,50.6016197205
Black,2013-08-12 10:14:05.297760,50.7090835571
Black,2013-08-12 10:14:05.378410,50.693031311
Black,2013-08-12 10:14:05.459224,50.6741943359
Black,2013-08-12 10:14:05.540258,50.6568489075
Black,2013-08-12 10:14:05.623233,50.6434783936
Black,2013-08-12 10:14:05.707538,50.6189613342
