Start time: 1375454841.41, Players: 1
End time: 1375455076.66, Score: 3400
Player,Time,HR
Black,2013-08-02 10:47:51.216851,78.3442230225
Black,2013-08-02 10:47:51.301793,77.721572876
Black,2013-08-02 10:47:51.385748,55.0751533508
Black,2013-08-02 10:47:51.472027,54.647441864
Black,2013-08-02 10:47:51.560820,54.2248535156
Black,2013-08-02 10:47:51.646960,53.7916946411
Black,2013-08-02 10:47:51.735319,53.3812103271
Black,2013-08-02 10:47:51.823799,52.9646682739
Black,2013-08-02 10:47:51.915252,52.5557594299
Black,2013-08-02 10:47:52.007309,52.1233482361
Black,2013-08-02 10:47:52.091828,51.7279891968
Black,2013-08-02 10:47:52.179453,51.352558136
Black,2013-08-02 10:47:52.263980,56.0675582886
Black,2013-08-02 10:47:52.357406,55.6521034241
Black,2013-08-02 10:47:52.447466,55.2186584473
Black,2013-08-02 10:47:52.532538,54.8270835876
Black,2013-08-02 10:47:52.619735,54.4357566833
Black,2013-08-02 10:47:52.706732,54.0537147522
Black,2013-08-02 10:47:52.793447,53.6706085205
Black,2013-08-02 10:47:52.891298,53.2481155396
Black,2013-08-02 10:47:52.983531,52.8536529541
Black,2013-08-02 10:47:53.070568,52.478099823
Black,2013-08-02 10:47:53.155866,52.1214332581
Black,2013-08-02 10:47:53.243831,51.7704734802
Black,2013-08-02 10:47:53.333345,51.4125747681
Black,2013-08-02 10:47:53.422793,55.6995048523
Black,2013-08-02 10:47:53.509650,55.3308677673
Black,2013-08-02 10:47:53.594576,54.9541053772
Black,2013-08-02 10:47:53.680509,54.5921058655
Black,2013-08-02 10:47:53.766229,54.2462730408
Black,2013-08-02 10:47:53.853463,53.8967933655
Black,2013-08-02 10:47:53.940530,53.5465927124
Black,2013-08-02 10:47:54.030763,53.1949157715
Black,2013-08-02 10:47:54.114923,52.8494300842
Black,2013-08-02 10:47:54.206668,52.5166625977
Black,2013-08-02 10:47:54.292765,52.1850242615
Black,2013-08-02 10:47:54.383204,51.8373908997
Black,2013-08-02 10:47:54.469854,51.5121955872
Black,2013-08-02 10:47:54.564208,55.444393158
Black,2013-08-02 10:47:54.650679,55.0935249329
Black,2013-08-02 10:47:54.742975,54.7593383789
Black,2013-08-02 10:47:54.839539,54.3913955688
Black,2013-08-02 10:47:54.928180,54.0303611755
Black,2013-08-02 10:47:55.016724,53.7048072815
Black,2013-08-02 10:47:55.103982,53.3847198486
Black,2013-08-02 10:47:55.192938,53.0730819702
Black,2013-08-02 10:47:55.279787,52.7497329712
Black,2013-08-02 10:47:55.376085,52.4205703735
Black,2013-08-02 10:47:55.472832,52.0698509216
